person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,loan_status
33,105708,27,36386,22.193591701606657,0.1391013636383991,3,635,OWN,MEDICAL,E,N,1
32,80112,3,22062,24.18944365910824,0.24710980835764823,11,597,OWN,MEDICAL,D,N,1
64,122471,21,36931,9.354250259563031,0.23393469326383753,3,481,RENT,HOMEIMPROVEMENT,E,N,1
68,146740,11,36710,6.763043162732889,0.2430135317721696,19,633,OWN,HOMEIMPROVEMENT,G,N,1
61,143153,12,35693,8.890700663369682,0.3135025820738511,10,810,MORTGAGE,HOMEIMPROVEMENT,A,N,0
69,46589,2,36740,21.411042785114375,0.2845281762110919,27,682,OWN,HOMEIMPROVEMENT,F,Y,1
20,50015,21,12705,18.53289269639695,0.1173997092564062,15,498,MORTGAGE,EDUCATION,G,N,1
54,49009,11,44408,17.72094684678253,0.07951058269098635,11,631,RENT,VENTURE,A,Y,1
68,103309,1,29047,13.03586270218849,0.37823695192694323,15,464,MORTGAGE,VENTURE,C,N,1
24,146446,23,11966,16.556559430228717,0.30187284616774107,26,541,RENT,MEDICAL,E,N,1
38,82046,1,18374,11.157482505487348,0.2115503456356687,27,526,MORTGAGE,VENTURE,A,N,1
26,126661,26,12138,14.544001588359226,0.41376102012413324,24,750,MORTGAGE,MEDICAL,B,Y,1
56,46143,22,16935,20.86126056741312,0.22462631341743067,13,495,OWN,VENTURE,A,N,1
35,26154,8,46913,24.624831949109243,0.40818429032027337,5,503,MORTGAGE,PERSONAL,E,N,1
21,41804,0,1489,23.649778471796036,0.18759025738056861,4,757,RENT,PERSONAL,E,Y,1
42,61688,7,45516,23.677318856924977,0.0827803838953399,13,556,MORTGAGE,VENTURE,F,N,1
31,84288,22,23260,13.044474696942247,0.46968786220996805,9,828,RENT,EDUCATION,A,Y,1
67,71195,5,27069,14.37579761013582,0.2275480081766179,25,571,RENT,MEDICAL,E,N,1
26,40581,5,20275,19.11270792737963,0.40671165778222007,17,308,MORTGAGE,VENTURE,E,Y,1
43,72648,21,37284,23.443838561025686,0.175614859950037,2,500,OWN,MEDICAL,G,N,1
19,50087,24,40178,7.839885187041693,0.3408643004556452,24,358,MORTGAGE,HOMEIMPROVEMENT,F,Y,1
37,69930,17,33821,11.084837276543915,0.44298989296597774,5,692,MORTGAGE,VENTURE,G,N,1
45,52981,16,17999,7.78493689188219,0.06873981005299115,16,418,OWN,EDUCATION,F,N,1
64,89298,28,39712,17.240170599189106,0.42378609410874013,7,698,RENT,HOMEIMPROVEMENT,F,N,1
24,66167,11,41172,11.126019937750751,0.30709985223736785,1,630,MORTGAGE,VENTURE,G,N,1
61,95304,5,34722,11.522157050251469,0.32336228925885613,28,566,OWN,PERSONAL,F,Y,1
25,63408,25,11625,6.418319189759584,0.2854211003626922,26,819,OWN,VENTURE,B,N,0
64,59499,26,2629,11.995921236151839,0.4435137964776391,12,779,RENT,PERSONAL,C,Y,1
52,145816,7,11973,22.24993014803171,0.06954501075603686,21,433,OWN,PERSONAL,E,N,1
31,72269,18,7859,9.661456237816699,0.16746277619113165,11,654,RENT,VENTURE,D,Y,1
34,58559,27,42609,18.903749324201314,0.4440931424866199,12,797,MORTGAGE,VENTURE,F,N,1
53,134126,9,44307,17.592566898771853,0.3885555661393802,19,406,OWN,PERSONAL,C,N,1
67,94319,0,46450,22.269692167382306,0.057940322080372635,26,589,MORTGAGE,MEDICAL,F,N,1
57,131925,24,37046,7.645758953020765,0.2826528274443689,12,446,OWN,HOMEIMPROVEMENT,C,N,1
21,115317,28,22839,24.551799206900863,0.2883077063207037,12,626,OWN,EDUCATION,D,N,1
19,116347,12,28216,16.652572920807312,0.23039696080755967,14,714,MORTGAGE,VENTURE,A,N,1
23,68787,16,19945,24.909483046936288,0.18382699942789538,2,509,OWN,HOMEIMPROVEMENT,B,N,1
59,55488,2,7539,23.230294517317017,0.35677618268555394,2,595,MORTGAGE,HOMEIMPROVEMENT,E,N,1
21,94441,7,34625,9.430345442262116,0.14350570911713922,25,697,MORTGAGE,MEDICAL,A,N,0
46,94663,13,5886,6.123240198066262,0.4095268529322677,29,402,RENT,HOMEIMPROVEMENT,G,N,1
35,42431,2,46713,10.112781875907231,0.4113667223453623,4,807,MORTGAGE,VENTURE,D,N,0
43,81681,15,8485,15.551272979988397,0.23686764690776924,20,508,RENT,HOMEIMPROVEMENT,B,N,1
61,83483,12,32455,8.4319273413038,0.17759660490934143,23,727,MORTGAGE,VENTURE,B,N,0
51,142720,19,47448,8.34919489035977,0.17774518171582093,26,692,OWN,VENTURE,B,N,0
27,69153,23,17767,14.251870942103062,0.26703109579829454,16,408,MORTGAGE,PERSONAL,D,N,1
53,26368,16,48165,5.6653594233871685,0.37381065113721146,10,647,OWN,MEDICAL,F,N,0
31,47424,12,29453,7.43776165064541,0.21149091094723643,13,349,RENT,EDUCATION,F,N,1
48,132360,28,11744,13.317226788158951,0.3245195054559882,2,404,OWN,PERSONAL,G,N,1
65,65004,5,38102,6.262598184159329,0.22211800726216746,3,719,MORTGAGE,EDUCATION,F,N,0
32,103869,16,13226,12.935101129110587,0.18703543511812248,19,672,OWN,VENTURE,A,N,0
25,108652,13,28869,14.480125318968902,0.06118678216210738,6,326,RENT,PERSONAL,E,N,1
31,132755,16,23588,14.025332281462289,0.05176134758092579,19,572,OWN,HOMEIMPROVEMENT,B,Y,1
40,76985,29,14440,22.383497148061746,0.152243455024402,27,639,OWN,HOMEIMPROVEMENT,G,Y,1
57,70069,7,32709,15.601249101034648,0.23288282906044794,21,600,MORTGAGE,EDUCATION,G,Y,1
38,72326,10,48788,14.359609249560867,0.43306752531292714,20,779,MORTGAGE,VENTURE,B,N,1
33,128737,19,23495,13.214184907833324,0.40931790931869144,19,843,OWN,EDUCATION,A,N,0
62,101061,27,38019,21.35246756608972,0.17022436816459546,8,564,RENT,MEDICAL,F,N,1
35,43398,0,45948,22.901132079996664,0.1600431993429347,14,841,OWN,HOMEIMPROVEMENT,B,N,1
64,118393,25,49908,22.064849383942352,0.15229493198151234,10,465,RENT,PERSONAL,B,N,1
41,70861,6,1922,18.47093156262782,0.20265680323799018,3,615,RENT,PERSONAL,D,N,1
43,95897,20,28526,7.747234919373485,0.2741894238027584,6,300,RENT,PERSONAL,C,N,1
42,101905,20,8957,10.537399389840246,0.247400497414209,29,560,OWN,HOMEIMPROVEMENT,G,N,1
62,147118,16,49564,5.921261273639549,0.1482229394516722,15,362,RENT,VENTURE,A,Y,1
58,88577,29,34998,23.616481499802283,0.10870313447462812,23,782,OWN,HOMEIMPROVEMENT,A,Y,1
46,85641,9,44395,18.215970593818206,0.055660015618787924,23,620,RENT,HOMEIMPROVEMENT,F,Y,1
32,29078,10,25031,19.92725768626483,0.11928345739992674,18,500,RENT,PERSONAL,A,N,1
62,45003,21,11006,11.23143479164458,0.3674103665873532,14,521,OWN,HOMEIMPROVEMENT,F,N,1
18,82768,29,38701,21.913070445546847,0.15963735620551234,19,451,MORTGAGE,PERSONAL,D,Y,1
42,71047,8,48063,10.19206567416957,0.2608708145546794,28,761,MORTGAGE,VENTURE,D,Y,1
24,91626,8,26939,5.032875142248994,0.3160855170154601,26,516,OWN,MEDICAL,E,Y,1
26,77660,23,21324,12.528299250413879,0.4490784062742232,10,495,OWN,PERSONAL,F,N,1
41,124386,4,23867,16.415229619181467,0.44998479427703875,15,501,MORTGAGE,EDUCATION,G,N,1
18,69786,16,1203,14.574097159310451,0.38558018015661155,4,533,MORTGAGE,MEDICAL,D,N,1
61,21925,8,17544,22.24152285153194,0.06582064642182564,23,440,MORTGAGE,VENTURE,F,N,1
25,103976,16,16899,7.108105719123339,0.3087816885884367,2,797,OWN,MEDICAL,G,N,0
41,125221,23,30063,16.076468812674513,0.4039625618741779,3,356,RENT,PERSONAL,G,Y,1
28,137832,20,26344,15.259586996418149,0.05777962014351345,7,803,OWN,VENTURE,A,N,0
68,145150,18,4748,10.62785964344326,0.2973580761454602,23,441,MORTGAGE,EDUCATION,E,N,1
34,46015,26,40486,21.444562251540212,0.4359938656037132,16,838,RENT,PERSONAL,C,N,1
25,53320,6,2093,20.056973117644127,0.26334593412902013,10,405,OWN,PERSONAL,B,N,1
52,84881,22,16228,19.65718374663662,0.05184779130385181,19,464,MORTGAGE,VENTURE,B,N,1
52,110827,8,21884,22.52384956539112,0.05495601125102336,28,514,OWN,VENTURE,E,N,1
50,140071,6,26183,19.455692012430426,0.23748621683618776,17,370,RENT,MEDICAL,F,Y,1
22,122215,12,17034,9.636825834294529,0.11975390033753956,28,389,MORTGAGE,EDUCATION,F,N,1
59,46289,10,6710,19.111254232993822,0.3490027956919668,19,527,OWN,MEDICAL,F,Y,1
56,148859,13,43500,11.154056267796877,0.3689596692077693,5,378,RENT,MEDICAL,C,N,1
58,23389,18,20259,9.84349300694941,0.13004590795728288,23,648,RENT,PERSONAL,G,N,0
45,45683,10,36959,6.4600718579925465,0.4498399798360182,20,545,OWN,VENTURE,B,N,1
24,33629,12,34457,19.880571606953534,0.24885853024051663,13,571,RENT,PERSONAL,E,N,1
26,81550,13,21143,19.220019238996223,0.11428065841636569,13,702,MORTGAGE,EDUCATION,F,N,1
25,44826,12,3103,9.689989553481874,0.39391321913122795,11,415,RENT,MEDICAL,D,N,1
29,120734,0,1365,19.98758033448312,0.4054885250075478,11,734,OWN,EDUCATION,A,N,1
51,46630,7,47778,23.356817661871062,0.33768296269945586,16,829,MORTGAGE,VENTURE,C,N,1
50,118762,11,45535,7.160579149831586,0.4340594989411489,15,741,RENT,VENTURE,F,N,0
65,66163,18,17103,9.652732767735499,0.3818178374138021,17,471,RENT,HOMEIMPROVEMENT,B,N,1
40,118511,11,33510,20.00521588174631,0.44699258175214573,22,315,MORTGAGE,EDUCATION,A,N,1
41,86435,7,25476,10.490133470141565,0.24524962181846577,18,355,MORTGAGE,PERSONAL,E,Y,1
54,31653,7,13742,17.493279485674336,0.3864187076447491,28,402,RENT,EDUCATION,F,N,1
52,47961,28,13391,6.62328448927429,0.49988820354306995,19,583,MORTGAGE,MEDICAL,B,Y,1
61,101941,20,37940,14.044049582070775,0.3762190388838286,4,816,OWN,VENTURE,A,N,0
57,94137,12,29901,19.781828439859062,0.10138270110670947,22,577,RENT,VENTURE,D,N,1
39,53662,11,33001,18.73027886086505,0.28324342509313233,22,568,OWN,EDUCATION,C,N,1
44,118818,28,16623,21.301442013516137,0.31430650605936256,23,699,RENT,EDUCATION,E,Y,1
52,76446,15,3378,22.54904253206338,0.12839480378212595,5,802,OWN,EDUCATION,B,Y,1
18,41288,0,22372,20.463670025175166,0.48330123538011693,7,385,OWN,MEDICAL,G,N,1
52,142555,12,45799,18.43175485877852,0.12901089993557735,2,619,MORTGAGE,MEDICAL,D,N,1
54,115081,25,39437,5.6344498363206235,0.12990106387095024,1,331,RENT,PERSONAL,C,N,1
64,56877,6,36503,15.69933346818888,0.4618252120885497,12,635,MORTGAGE,EDUCATION,C,N,1
31,131562,27,31746,5.753954498297055,0.259342444904752,10,350,MORTGAGE,PERSONAL,G,N,1
20,35313,25,28923,21.161356342320452,0.0784347256735323,8,378,RENT,HOMEIMPROVEMENT,D,Y,1
18,100885,4,10867,11.414490489199151,0.31918437497233787,1,473,OWN,MEDICAL,B,Y,1
22,92715,7,42258,16.248587482358417,0.3208218568848715,12,800,RENT,VENTURE,C,N,1
43,30326,24,34724,10.588906146378052,0.07902534140895282,2,375,RENT,HOMEIMPROVEMENT,E,N,1
31,130091,26,10306,20.650002887605872,0.4876351230351479,27,615,RENT,VENTURE,A,N,1
56,145836,13,40391,22.73005053283805,0.294813484382559,28,672,MORTGAGE,HOMEIMPROVEMENT,E,Y,1
44,21560,22,15908,12.97284988426128,0.3019080749808939,10,380,RENT,PERSONAL,F,Y,1
26,99148,29,28081,22.25844787021978,0.2840519365260775,22,370,RENT,PERSONAL,C,N,1
32,103186,12,38228,10.341500149126649,0.324829300840079,17,370,RENT,MEDICAL,A,N,1
32,46745,14,24386,15.693218461510476,0.16893488874818974,26,345,OWN,VENTURE,D,N,1
43,51890,22,47754,22.17522859677408,0.17925860658867837,3,346,OWN,HOMEIMPROVEMENT,A,N,1
59,40022,16,46406,11.517626852315807,0.28010259040825974,7,721,OWN,EDUCATION,A,N,0
30,143629,14,29302,24.080845301561716,0.4130086346436108,12,448,OWN,EDUCATION,G,N,1
68,72579,19,20212,7.4375900356276725,0.07243905942238049,8,429,MORTGAGE,MEDICAL,A,Y,1
49,90316,17,36618,5.365501394470124,0.3215318954991107,20,755,MORTGAGE,VENTURE,C,Y,0
56,103847,17,47067,23.082707051563812,0.4130501641278413,12,804,RENT,EDUCATION,G,Y,1
66,48380,1,11698,6.372973322957445,0.12061277241675222,3,543,MORTGAGE,MEDICAL,G,N,0
69,130198,3,5594,24.837783918949835,0.05676014389125483,17,773,OWN,MEDICAL,F,N,1
49,22356,29,26525,24.027937239582123,0.19072098281365613,28,681,RENT,VENTURE,F,N,1
21,90326,0,15282,7.740418200726413,0.31466466802831916,9,402,RENT,EDUCATION,G,Y,1
47,112447,3,15334,15.751692513851317,0.11222742803213648,10,788,OWN,EDUCATION,G,N,0
54,134994,17,30179,8.698405949342886,0.2417550669376185,22,336,OWN,EDUCATION,B,N,1
40,109899,4,7644,13.563103460602397,0.2985446738184251,6,848,OWN,PERSONAL,F,N,0
56,40049,18,36618,6.228502585196654,0.31949739264079274,25,819,MORTGAGE,EDUCATION,C,N,0
62,95717,14,48701,9.47849175593179,0.1734852744501688,1,632,RENT,HOMEIMPROVEMENT,B,Y,1
32,125361,27,33933,12.26545592797799,0.23001333619383113,22,696,OWN,PERSONAL,D,N,0
60,36082,7,44469,13.772950004921096,0.4002526530804014,12,595,RENT,PERSONAL,D,N,1
46,20661,19,34687,24.549925164177864,0.47354661235430845,5,406,RENT,PERSONAL,D,N,1
53,57412,16,42073,21.157312913679625,0.4378461490032158,13,829,MORTGAGE,PERSONAL,D,Y,1
30,134015,0,18375,19.748198886238924,0.30392757578004437,27,382,RENT,MEDICAL,D,N,1
49,143191,11,49483,15.740826294839485,0.23463176132477598,15,587,OWN,HOMEIMPROVEMENT,E,N,1
24,22920,25,31926,21.799955212086868,0.1998304764671382,22,760,OWN,VENTURE,G,N,1
68,111194,18,37607,11.786456713114221,0.10623045473780812,11,514,RENT,EDUCATION,C,N,1
39,134306,14,18642,19.177982255466322,0.09794806124725083,8,580,RENT,PERSONAL,B,N,1
45,80315,8,24993,24.87567950756344,0.35976093121114594,5,758,MORTGAGE,VENTURE,D,N,1
19,99561,6,45386,11.292578178703977,0.16690748727702218,2,643,OWN,MEDICAL,E,N,1
59,28946,1,47287,18.48035069767935,0.16459775889460107,12,493,OWN,VENTURE,F,N,1
62,114242,28,22188,21.88629728304765,0.49918777451500357,28,457,RENT,PERSONAL,E,N,1
23,65500,8,33596,23.316151667013443,0.13456668104320793,2,764,RENT,HOMEIMPROVEMENT,E,N,1
45,124540,9,28772,19.358653818802036,0.11662689176997335,26,403,RENT,VENTURE,C,Y,1
45,36309,1,31857,10.672158468342726,0.09440835249196428,16,333,OWN,PERSONAL,D,N,1
61,75230,18,11776,11.52564303137893,0.31091240532505826,21,401,RENT,PERSONAL,E,N,1
61,131822,10,33835,5.415160642479284,0.33253872170094567,3,624,MORTGAGE,EDUCATION,G,N,0
37,118656,12,10788,20.217719553430193,0.2143525668155969,10,440,MORTGAGE,EDUCATION,E,Y,1
47,143782,9,6660,5.8547921212390275,0.2909360009801605,19,773,RENT,HOMEIMPROVEMENT,D,N,0
28,50027,13,5478,22.293047092054913,0.40477978892521066,8,330,MORTGAGE,EDUCATION,C,Y,1
45,146768,17,9210,7.373212289490776,0.41814687574478676,7,362,MORTGAGE,HOMEIMPROVEMENT,E,N,1
42,92541,18,11922,8.437530242718484,0.48106043407204174,1,386,MORTGAGE,MEDICAL,B,Y,1
56,132340,21,37289,14.530529416644747,0.42092059366529355,12,603,MORTGAGE,MEDICAL,A,N,1
50,134846,8,34340,19.757608303374848,0.304178646522842,29,360,MORTGAGE,EDUCATION,F,N,1
18,79321,24,40850,7.780044103981554,0.1308456346265807,28,695,OWN,MEDICAL,A,N,0
44,20956,6,39163,13.801421501329969,0.09489360096627908,5,633,RENT,VENTURE,A,N,1
69,120375,27,49175,14.657025488202095,0.07453035045988665,16,710,MORTGAGE,VENTURE,C,N,1
30,94131,2,19642,9.245712833371826,0.34993662430342265,25,583,RENT,VENTURE,E,Y,1
58,67908,19,12094,7.311167533612634,0.4133913149290969,4,765,MORTGAGE,MEDICAL,A,N,0
20,98339,5,23423,21.728418459712792,0.27890777780783554,17,379,OWN,VENTURE,A,Y,1
56,145659,26,34418,15.04931299525531,0.07462137867513798,24,376,OWN,HOMEIMPROVEMENT,F,N,1
23,45963,20,6741,5.287624719683059,0.2909617585661022,21,839,MORTGAGE,PERSONAL,D,N,0
25,121757,1,47049,21.059626026182077,0.4710871676860477,2,660,MORTGAGE,EDUCATION,G,N,1
44,59443,28,7838,24.615876108291697,0.3189259359196072,12,376,MORTGAGE,HOMEIMPROVEMENT,G,N,1
26,119259,5,4262,17.118523908284946,0.4142423698082667,1,808,OWN,VENTURE,E,Y,1
54,59063,2,5996,15.074167741681414,0.41006869177628774,12,463,OWN,PERSONAL,E,N,1
50,134225,15,45594,22.568317260899235,0.46945809490129375,12,308,RENT,EDUCATION,F,N,1
68,136400,29,23164,24.05033579369197,0.396602944542443,12,474,OWN,HOMEIMPROVEMENT,D,N,1
59,100818,7,36595,20.090738318049212,0.3864652313058903,19,761,MORTGAGE,EDUCATION,E,N,1
61,24703,1,31257,13.909058594685757,0.15534619923678827,25,606,RENT,MEDICAL,G,N,0
41,85128,16,15211,16.84442798662881,0.07696631989448666,17,544,OWN,VENTURE,G,Y,1
32,92099,8,31453,19.018707300359985,0.2829197592742135,20,421,OWN,HOMEIMPROVEMENT,B,N,1
49,45849,29,6232,8.885471420036028,0.10599539357603985,24,484,MORTGAGE,HOMEIMPROVEMENT,F,N,1
49,51860,11,3217,13.944020644328761,0.48298814432509607,24,331,RENT,PERSONAL,C,N,1
41,51585,2,25229,21.5964252943457,0.18046614318486287,26,609,OWN,PERSONAL,D,N,1
58,42015,10,15232,18.09450696996886,0.4338248915229319,28,671,OWN,PERSONAL,F,Y,1
69,97539,0,26613,13.224081344237081,0.22443108134110673,11,355,MORTGAGE,EDUCATION,A,Y,1
66,63585,22,15026,18.26725068029363,0.19543741243581986,13,572,RENT,VENTURE,E,Y,1
66,46958,12,29554,7.364448241449198,0.4708213575694795,27,763,RENT,EDUCATION,B,N,0
69,46017,14,31908,13.029952211297527,0.21349515743880082,8,755,RENT,VENTURE,G,Y,1
29,96707,25,20610,20.86257075926113,0.2256295588984114,10,548,RENT,HOMEIMPROVEMENT,B,N,1
56,144677,4,47646,9.41017574273296,0.09774130082580912,8,377,MORTGAGE,EDUCATION,C,N,1
19,65350,20,40605,8.719230151148354,0.3517009993771292,20,833,OWN,EDUCATION,F,Y,1
20,32201,29,8031,24.01637319832863,0.17997773651488108,8,407,OWN,EDUCATION,B,N,1
66,49426,16,48574,9.197952591724615,0.3135218755277782,9,572,RENT,MEDICAL,F,N,1
54,37778,24,26515,10.218371593003361,0.3161082668239443,7,314,RENT,VENTURE,E,N,1
66,65241,22,37484,24.39231877808676,0.37363986301809515,14,669,RENT,VENTURE,E,N,1
34,62229,23,37182,19.694171405300516,0.38535866877759856,28,603,OWN,EDUCATION,G,N,1
66,106652,24,1570,18.991930660470565,0.28150359548069276,2,504,OWN,MEDICAL,B,N,1
19,148267,5,33254,22.058527677091625,0.19894637642153135,25,412,RENT,EDUCATION,E,Y,1
19,138402,27,20288,7.3164616447358855,0.42685290267563025,11,552,MORTGAGE,VENTURE,F,N,1
45,68364,20,14288,19.119124731600145,0.18943954223381815,8,740,OWN,HOMEIMPROVEMENT,G,N,1
40,118833,21,30877,15.073772186564778,0.2783790925111992,13,485,OWN,MEDICAL,E,N,1
54,146503,10,19889,21.5830128056828,0.23056366244167764,21,526,RENT,MEDICAL,G,N,1
49,149044,17,1917,15.162834373303886,0.43478527368635966,15,827,MORTGAGE,EDUCATION,A,N,1
50,104878,3,11066,17.404827085378244,0.24436333901562296,28,653,RENT,HOMEIMPROVEMENT,F,N,1
18,77056,2,30504,14.554842527990719,0.22374463497686792,3,300,RENT,VENTURE,G,N,1
36,47490,12,7982,14.563178471116881,0.36042066180393684,23,719,MORTGAGE,PERSONAL,D,Y,1
19,147769,22,40104,20.35939956123663,0.32109849943764923,14,460,MORTGAGE,VENTURE,E,Y,1
61,39975,8,19062,17.571328012945663,0.09826107507313073,15,460,MORTGAGE,VENTURE,E,N,1
43,46723,20,17999,17.665264032188208,0.27867596285478347,2,427,OWN,HOMEIMPROVEMENT,F,N,1
49,43279,5,10941,14.005649676630515,0.38096527474996145,29,450,RENT,MEDICAL,C,N,1
23,98301,25,24470,15.62218992675055,0.4964336440661103,19,743,OWN,VENTURE,D,N,1
49,132214,29,46148,19.914353324095746,0.3331160752866436,12,770,MORTGAGE,MEDICAL,G,Y,1
21,31561,27,22133,21.518818382238365,0.216631879898593,25,762,OWN,HOMEIMPROVEMENT,D,Y,1
28,127435,11,45435,18.931228042880925,0.1517682199109533,20,329,MORTGAGE,HOMEIMPROVEMENT,G,N,1
34,86061,1,5529,23.481459776913663,0.4427736053689941,4,772,MORTGAGE,EDUCATION,D,Y,1
55,108397,2,18519,21.40648176294402,0.4165543454510762,3,379,RENT,PERSONAL,B,N,1
41,69153,2,13192,16.237275796190367,0.1552652693507232,5,338,RENT,HOMEIMPROVEMENT,A,N,1
22,53142,27,9566,18.428121452874738,0.14028444056595807,3,539,RENT,HOMEIMPROVEMENT,A,N,1
69,46916,11,8226,23.52616553842392,0.37181154956502904,25,636,OWN,MEDICAL,C,N,1
51,84324,14,38930,17.38336088486117,0.19172842786344174,15,579,RENT,HOMEIMPROVEMENT,D,N,1
23,64965,8,22259,21.496138959596614,0.18787945926288102,19,415,MORTGAGE,VENTURE,D,Y,1
39,145932,22,35087,18.776210071799742,0.11853061118044488,2,568,RENT,EDUCATION,E,N,1
28,24648,7,2141,16.038727221209328,0.16878898386942348,12,634,OWN,EDUCATION,G,N,1
65,55133,10,5627,9.836763908307063,0.24237840091669233,5,611,RENT,VENTURE,F,N,1
33,70677,15,48269,13.519950389368562,0.379777251772587,22,352,RENT,HOMEIMPROVEMENT,B,N,1
50,116059,25,3690,24.354856496674312,0.20133864248618738,17,367,RENT,PERSONAL,B,N,1
26,114588,26,41091,18.155307665452,0.19787195276592923,14,333,OWN,HOMEIMPROVEMENT,C,N,1
23,119950,24,4255,16.287907606779793,0.17821096364859612,28,685,MORTGAGE,EDUCATION,A,N,0
33,118317,21,6213,23.659132510564547,0.26522765037996937,27,548,MORTGAGE,PERSONAL,D,N,1
46,90135,3,37876,16.730235620748974,0.1312865140735919,22,410,MORTGAGE,MEDICAL,F,N,1
20,55046,27,20404,15.521650368348059,0.2685338303144565,10,393,RENT,MEDICAL,C,N,1
37,67064,0,26380,20.186217103004104,0.36687900028761045,3,709,RENT,HOMEIMPROVEMENT,G,Y,1
53,121459,23,26520,19.25331237973089,0.06340572681467999,4,478,OWN,HOMEIMPROVEMENT,B,N,1
36,126625,6,20173,8.863200168168655,0.05440072113759284,6,346,MORTGAGE,PERSONAL,B,Y,1
43,89350,1,24989,14.426165491482424,0.08380530956952915,24,675,RENT,PERSONAL,B,N,0
20,65893,23,43570,14.450308856391704,0.29104702777765046,25,501,RENT,HOMEIMPROVEMENT,D,N,1
36,121520,27,25519,12.564490304866895,0.4345047874334315,22,744,RENT,EDUCATION,D,N,1
37,145818,4,23439,15.345869643045063,0.052198009709113376,16,596,OWN,MEDICAL,D,Y,1
49,81272,6,12413,13.262147954542884,0.47149758706310646,7,607,MORTGAGE,PERSONAL,E,N,1
24,112152,3,15995,8.986909789423663,0.09782533020674111,15,792,OWN,EDUCATION,A,N,0
69,142907,4,24559,13.247329745493621,0.4288925876262018,21,637,MORTGAGE,HOMEIMPROVEMENT,G,Y,1
